measure,org_type,org_id,org_name,date,numerator,denominator,calc_value,percentile
glutenfree,ccg,13T,NHS NEWCASTLE GATESHEAD,2021-04-01,8443.419019999998,532.2650000000001,15.863186608174493,66.0377358490566
glutenfree,ccg,11M,NHS GLOUCESTERSHIRE,2021-04-01,157.02598,666.4130000000001,0.23562862669245643,17.92452830188679
glutenfree,ccg,01J,NHS KNOWSLEY,2021-04-01,3863.928499999999,168.62499999999997,22.914327650111193,91.50943396226415
glutenfree,ccg,02Y,NHS EAST RIDING OF YORKSHIRE,2021-04-01,7734.200249999999,307.202,25.17626919746616,98.11320754716981
glutenfree,ccg,02H,NHS WIGAN BOROUGH,2021-04-01,7793.9972,334.9150000000001,23.271568009793523,92.45283018867924
glutenfree,ccg,05Q,NHS SOUTH EAST STAFFORDSHIRE AND SEISDON PENINSULA,2021-04-01,679.0021599999999,216.097,3.1421174750227903,37.735849056603776
glutenfree,ccg,B2M3M,NHS COVENTRY AND WARWICKSHIRE,2021-04-01,20087.742150000005,1028.5589999999997,19.529985299822382,81.13207547169812
glutenfree,ccg,02P,NHS BARNSLEY,2021-04-01,6226.977559999999,264.27700000000004,23.56231363304411,93.39622641509435
glutenfree,ccg,09D,NHS BRIGHTON AND HOVE,2021-04-01,2392.41792,324.45599999999996,7.3736282269398625,48.113207547169814
glutenfree,ccg,15A,NHS BERKSHIRE WEST,2021-04-01,131.05655000000002,557.531,0.2350659425215818,16.9811320754717
glutenfree,ccg,02M,NHS FYLDE AND WYRE,2021-04-01,13.71664,180.451,0.07601310050927954,9.433962264150944
glutenfree,ccg,00T,NHS BOLTON,2021-04-01,6563.37316,317.1769999999998,20.693093004852194,84.90566037735849
glutenfree,ccg,05V,NHS STAFFORD AND SURROUNDS,2021-04-01,868.0769699999998,150.776,5.757394877168779,45.28301886792453
glutenfree,ccg,00Y,NHS OLDHAM,2021-04-01,4943.476,260.98300000000006,18.941754826942745,79.24528301886792
glutenfree,ccg,01D,"NHS HEYWOOD, MIDDLETON AND ROCHDALE",2021-04-01,3863.53709,239.865,16.107131469785084,66.98113207547169
glutenfree,ccg,00V,NHS BURY,2021-04-01,938.3337899999999,207.544,4.521131856377442,41.509433962264154
glutenfree,ccg,92A,NHS SURREY HEARTLANDS,2021-04-01,12366.058229999995,1253.2420000000002,9.867254871764587,50.943396226415096
glutenfree,ccg,10R,NHS PORTSMOUTH,2021-04-01,3251.2926300000004,230.08399999999997,14.130894064776346,60.37735849056604
glutenfree,ccg,M2L0M,"NHS SHROPSHIRE, TELFORD AND WREKIN",2021-04-01,0.0,512.966,0.0,0.0
glutenfree,ccg,01X,NHS ST HELENS,2021-04-01,22.8135,199.421,0.11439868419073218,12.264150943396226
glutenfree,ccg,70F,NHS WEST SUSSEX,2021-04-01,15798.893179999995,911.0140000000002,17.342097025951293,69.81132075471697
glutenfree,ccg,A3A8R,NHS NORTH EAST LONDON,2021-04-01,6925.700890000002,2284.553,3.0315343482948314,36.79245283018868
glutenfree,ccg,00Q,NHS BLACKBURN WITH DARWEN,2021-04-01,0.0,179.55200000000005,0.0,0.0
glutenfree,ccg,14Y,NHS BUCKINGHAMSHIRE,2021-04-01,6944.51679,573.3739999999999,12.111670201299676,51.886792452830186
glutenfree,ccg,03R,NHS WAKEFIELD,2021-04-01,27.50784,385.29499999999996,0.07139423039489223,8.49056603773585
glutenfree,ccg,02A,NHS TRAFFORD,2021-04-01,0.0,243.83599999999998,0.0,0.0
glutenfree,ccg,04C,NHS LEICESTER CITY,2021-04-01,5472.943519999999,421.89899999999994,12.972165186454577,53.77358490566038
glutenfree,ccg,01Y,NHS TAMESIDE AND GLOSSOP,2021-04-01,3946.09547,218.68800000000002,18.044407877889963,70.75471698113208
glutenfree,ccg,03H,NHS NORTH EAST LINCOLNSHIRE,2021-04-01,2597.19608,170.49099999999999,15.233625704582648,63.20754716981132
glutenfree,ccg,12F,NHS WIRRAL,2021-04-01,6185.69236,338.17500000000007,18.291394573815328,74.52830188679245
